,between centrality,degree centrality,close centrality,eigen centrality,strength,degree,date
Vertcoin,0.000648638965518832,0.8918918918918919,0.902439024390244,0.16337365611839993,136,33,2018-08-26
Waves platform,0.0015029099255022215,0.8648648648648649,0.8809523809523809,0.1571886037152651,97,32,2018-08-26
Zcash,0.001908547204791398,0.9189189189189191,0.925,0.16634063221688453,239,34,2018-08-26
Petro,0.0013360764253353885,0.8108108108108109,0.8409090909090909,0.14757205204528429,72,30,2018-08-26
Tezos,0.0,0.10810810810810813,0.5285714285714286,0.019808463106083352,5,4,2018-08-26
VeChain,0.0,0.4864864864864865,0.6607142857142857,0.0905898084676176,27,18,2018-08-26
Auroracoin,0.006253713606654783,0.8823529411764706,0.8947368421052632,0.251401304876651,42,15,2015-06-07
Bitcoin,0.030608872336813524,1.0,1.0,0.2681886410602973,290,17,2015-06-07
Dash,0.0112461272387743,0.9411764705882352,0.9444444444444444,0.2624747738332396,63,16,2015-06-07
Dogecoin,0.023165478312537142,0.9411764705882352,0.9444444444444444,0.2571151721037088,170,16,2015-06-07
Ethereum,0.0112461272387743,0.9411764705882352,0.9444444444444444,0.2624747738332396,57,16,2015-06-07
Litecoin,0.0112461272387743,0.9411764705882352,0.9444444444444444,0.2624747738332396,196,16,2015-06-07
MazaCoin,0.003022875816993464,0.7647058823529411,0.8095238095238095,0.2218179348461061,38,13,2015-06-07
Monero,0.005523459383753501,0.7647058823529411,0.8095238095238095,0.21854989465764094,24,13,2015-06-07
Namecoin,0.030608872336813524,1.0,1.0,0.2681886410602973,121,17,2015-06-07
Nxt,0.0012811942959001785,0.7647058823529411,0.8095238095238095,0.2249978656285821,23,13,2015-06-07
Peercoin,0.023165478312537142,0.9411764705882352,0.9444444444444444,0.2571151721037089,126,16,2015-06-07
PotCoin,0.0,0.6470588235294118,0.7391304347826086,0.19193682464202907,15,11,2015-06-07
Primecoin,0.0112461272387743,0.9411764705882352,0.9444444444444444,0.26247477383323964,131,16,2015-06-07
