time,return
2015-12-10,0.007738356069316433
2015-12-11,0.0037419103865135583
2015-12-12,0.0010674426673069513
2015-12-13,0.0030954857602471975
2015-12-14,0.00034916563905811325
2015-12-15,-0.0006869610682237184
2015-12-16,-0.00161132796037823
2015-12-17,-5.344464213530553e-05
2015-12-18,-0.0014508705919180093
2015-12-19,0.00027893460109448955
2015-12-20,0.00044992929425265616
2015-12-21,-6.948257945115169e-05
2015-12-22,0.0005708462532786929
2015-12-23,0.0003580117258166842
2015-12-24,0.0052182845574874955
2015-12-25,0.0050797399273641896
2015-12-26,-0.0016839619329641726
2015-12-27,0.004065521649605067
2015-12-28,0.0027027808616051415
2015-12-29,-0.0025118580948666975
2015-12-30,0.0005285045950334401
2015-12-31,-0.001053872370851688
2016-01-01,-0.00013260311193197404
